provincia,departamento,localidad,tipo,subtipo,nombre,direccion,piso,cp,telefono,email,web
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Industrias Culturales,Agencia de noticias,Agp - Asociación,Av. Corrientes 456,,1043,4394-0872 / 8169 4393-9912,afp-baires@afp.com,www.afp.com
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Industrias Culturales,Agencia de noticias,Efe,Alicia Moreu De Justo 1720,,1107,4312-5721,redaccion@efe.com.ar,www.efe.es
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Industrias Culturales,Agencia de noticias,Novosti,Anasagasti 2031,,1425,4827-3494 / 3446,novosti@arnet.com.ar,www.rian.ru
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Industrias Culturales,Agencia de noticias,Reuters,Av. E. Madero 942,,1106,4318-0600,buenosaires.newsroom@reuters.com,www.reuters.com
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Industrias Culturales,Agencia de noticias,Dow Jones Newswires,Av. Leandro N. Alem 712,,1001,4311-3127,argentina@dowjones.com,
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Industrias Culturales,Agencia de noticias,Agencia Informativa Católica Argentina,Bolívar 218,,1066,4343-4397,info@aica.org,www.aica.org
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Industrias Culturales,Agencia de noticias,The Associated Press,Av. Leandro N. Alem 712,,1001,4311-0081/ 3,kgray@ap.org,www.ap.org
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Industrias Culturales,Agencia de noticias,Dyn - Diarios y Noticias,Av. Presidente Julio A. Roca 636,,1067,4342-3040,editor@dyn.com.ar,www.dyn.com.ar
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Industrias Culturales,Agencia de noticias,Los Diarios,Sarmiento 1236,,1041,4382-2805 / 2728,info@losdiarios.com.ar,www.losdiarios.com
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Industrias Culturales,Agencia de noticias,N.A. Noticias Argentinas,Suipacha 570,,1008,4394-7542/22,infogral@noticiasargentinas.com,www.noticiasargentinas.com
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Industrias Culturales,Agencia de noticias,Ansa Agenzia Noticiosa Stampa Associatta,San Martín 320,,1004,4394-7568,ansabairesred@infovia.com.ar,www.ansa.it
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Industrias Culturales,Agencia de noticias,Prensa Latina,Sarmiento 2172,,1044,4953-5083,prela@teletel.com.ar,www.prensa_latina.org
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Industrias Culturales,Agencia de noticias,Productora de Servicios Periodísticos,Solís 637,,1078,4384-5013,proseptm@yahoo.com.ar,
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Industrias Culturales,Agencia de noticias,Infosic,Humberto 1 2286,,1229,4943-7100,agencia@infosic.com.ar,www.infosic.com.ar
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Industrias Culturales,Agencia de noticias,Nova,Paraguay 946,,C1057AAN,4372-3212,noticias@nova-net.com.ar,www.agencianova.com
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Industrias Culturales,Agencia de noticias,Betha,Av. Belgrano 510,,1092,4334-7675 / 6,info@betha.com.ar,www.betha.com.ar
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Industrias Culturales,Agencia de noticias,Télam - Agencia Nacional de Noticias,Bolívar 531,,1066,4339-0300,telam@sinectis.com.ar,www.telam.com.ar
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Espacios Culturales,Bibliotecas especializadas,Centro de Informacion,Viamonte 1549,,C1173AAA,(011) 4865-1707 Int 114,cicedes@cedes.org,www.cedes.org
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Espacios Culturales,Bibliotecas especializadas,Biblioteca,Juan D. Perón 2158,,C1199ACK,(011) 4961-8777,peppi.liwinska@hospitalitaliano.org.ar,www.hospitalitaliano.org.ar/docencia/residentes/index_dto.php?contenido=verprograma.php&id_programa=65
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Espacios Culturales,Bibliotecas especializadas,Centro de Información Técnica,Crisólogo Larralde 105,Piso 4,1067,4347-9365/9371-9372 Fax: 4347-9367,afreschi@cnc.gov.ar cit@cnc.gov.ar,www.cnc.gov.ar/cit/index.asp
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Espacios Culturales,Bibliotecas especializadas,Cornelio Saavedra,Pje. Yrupe 6714,,C1431AQD,4571-2538,biblioteca_saavedra@buenosaires.gov.ar,
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Espacios Culturales,Bibliotecas especializadas,Biblioteca,Saladillo 2468,,C1425FCD,"(011) 4806-7412, 7415, 7418; 4802-1901^D(011) 4802-2174, 2676",,
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Espacios Culturales,Bibliotecas especializadas,Carlos Guido y Spano,Av. Dellepiane Norte 4801,,C1425BLH,4773-5862,biblioteca_spano@buenosaires.gov.ar,
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Espacios Culturales,Bibliotecas especializadas,"Biblioteca, Hemeroteca y Archivo",Av. Hipólito Yrigoyen 250,,C1406BEC,(011) 4631-8893,nformes@cedinci.org,www.cedinci.org/servicios.htm
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Espacios Culturales,Bibliotecas especializadas,Enrique Banchs,Ana M. Janer,,C1152ABP,4943-1078,biblioteca_banchs@buenosaires.gov.ar,
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Espacios Culturales,Bibliotecas especializadas,Biblioteca,Ventura de La Vega 3697,,C1429AVO,011 4703-4644,cinas@fibertel.com.ar,www.drcormillot.com/cinas/index.php
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Espacios Culturales,Bibliotecas especializadas,Biblioteca de La Asesoría Jurídica de La Armada,Montes de Oca 2124,,,4317-2000 Int. 2236,ajar@ara.mil.ar,
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Espacios Culturales,Bibliotecas especializadas,Biblioteca Del Centro Argentino de Datos Oceanográficos,Montes de Oca 2124,,1270,4301-0061/67 Int 4014,ceado@hidro.gov.ar,www.ceado.gob.ar/
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Espacios Culturales,Bibliotecas especializadas,Biblioteca Prof. Emérito Dr. Alfredo L. Palacios,"Montes de Oca, Manuel 2124",Piso 1,C1120AAQ,"4374-4448, 2722, 3749 Int. 6437 Hemeroteca 4373-0145","referen@econ.uba.ar; ncanuso@econ.uba.ar; sanllore@econ.uba.ar, aondarra@econ.uba.ar",www.econ.uba.ar/www/servicios/biblioteca/ingresar.htm
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Espacios Culturales,Bibliotecas especializadas,Biblioteca,Av. Amancio Alcorta 3000,,C1090AAA,"(011) 4374-8823, 8824; 4375-3215^Dhemeroteca:(011) 4373-0459. Diarios: (011) 4373-0528",congreso@bcnbib.gov.ar,www.bcnbib.gov.ar
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Espacios Culturales,Bibliotecas especializadas,Biblioteca Dr. Juan Carlos Fauvety,"Alcorta, Amancio Av. 3000",,C1425ASS,4808-8200 Int. 8483,mduguid@cemic.edu.ar,www.cemic.edu.ar
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Espacios Culturales,Bibliotecas especializadas,Benito Lynch,Boquerón 6753,,C1440BND,4687-1977,biblioteca_lynch@buenosaires.gov.ar,
