provincia,departamento,localidad,tipo,subtipo,nombre,direccion,source_geo,lat,lon,piso,cp,telefono,email,web
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Industrias Culturales,Agencia de noticias,Agp - Asociación,Av. Corrientes 456,cultura,-34.603226,-58.373222,,1043,4394-0872 / 8169 4393-9912,afp-baires@afp.com,www.afp.com
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Industrias Culturales,Agencia de noticias,Efe,Alicia Moreu De Justo 1720,cultura,-34.618286,-58.365707,,1107,4312-5721,redaccion@efe.com.ar,www.efe.es
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Industrias Culturales,Agencia de noticias,Novosti,Anasagasti 2031,cultura,-34.589306,-58.41188,,1425,4827-3494 / 3446,novosti@arnet.com.ar,www.rian.ru
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Industrias Culturales,Agencia de noticias,Reuters,Av. E. Madero 942,cultura,-34.596729,-58.370167,,1106,4318-0600,buenosaires.newsroom@reuters.com,www.reuters.com
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Industrias Culturales,Agencia de noticias,Dow Jones Newswires,Av. Leandro N. Alem 712,osm,-34.6063988,-58.3702372,,1001,4311-3127,argentina@dowjones.com,
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Industrias Culturales,Agencia de noticias,Agencia Informativa Católica Argentina,Bolívar 218,cultura,-34.610542,-58.373425,,1066,4343-4397,info@aica.org,www.aica.org
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Industrias Culturales,Agencia de noticias,The Associated Press,Av. Leandro N. Alem 712,osm,-34.6063988,-58.3702372,,1001,4311-0081/ 3,kgray@ap.org,www.ap.org
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Industrias Culturales,Agencia de noticias,Dyn - Diarios y Noticias,Av. Presidente Julio A. Roca 636,osm,-34.61088344,-58.37523416,,1067,4342-3040,editor@dyn.com.ar,www.dyn.com.ar
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Industrias Culturales,Agencia de noticias,Los Diarios,Sarmiento 1236,cultura,-34.605145,-58.384117,,1041,4382-2805 / 2728,info@losdiarios.com.ar,www.losdiarios.com
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Industrias Culturales,Agencia de noticias,N.A. Noticias Argentinas,Suipacha 570,cultura,-34.601631,-58.379589,,1008,4394-7542/22,infogral@noticiasargentinas.com,www.noticiasargentinas.com
